Date,Income/Expenses,Category,Memo,Amount
2019-03-21,Expenses,Dessert,"Mc Flurry @Mc. Donald's, Sentosa Island, Harbourfront",-1.8
2019-03-21,Expenses,Telephone,"Top-Up Singtel SIM Card @7-Eleven, Sunset Way, Clementi",-10.0
2019-03-21,Expenses,Dessert,"Ice Cream @Udders, Beauty World",-3.8
2019-03-20,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.7
2019-03-20,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.7
2019-03-19,Expenses,Food,"Noodle @Kampoeng, SIM, Clementi",-4.5
2019-03-19,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.7
2019-03-18,Expenses,Drinks,"Bubble Tea @Heytea, ION Orchard, Orchard",-2.7
2019-03-18,Expenses,Food,"Mala Hot Soup @Kampoeng, SIM, Clementi",-5.8
2019-03-18,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.6
2019-03-17,Expenses,Food,"Crispy Chicken + Chocolate Chicken + Mc. Flurry @Mc. Donald's, Metropolis, Buona Vista",-10.6
2019-03-17,Expenses,Snacks,"Snacks @Cold Storage Jelita, Clementi",-3.5
2019-03-17,Expenses,Snacks,"Snacks @Cold Storage Jelita, Clementi",-3.3
2019-03-16,Expenses,Groceries,"Sunshine Bread @Fairprice Finest, Clementi Mall, Clementi",-2.4
2019-03-16,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.0
2019-03-16,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.2
2019-03-15,Expenses,Food,"Double Mc Spicy @Mc. Donald's, Gardnes by the Bay, Bayfront",-9.4
2019-03-15,Expenses,Snacks,"Doughnut @Flower Dome, Gardens by The Bay, Bayfront",-4.5
2019-03-15,Expenses,Entertainment,"Flower Dome Entry Pass @Gardens by The Bay, Bayfront",-10.8
2019-03-15,Expenses,Food,"Mixed Rice @Rasapura, Marina Bay Sands, Marina Bay",-9.0
2019-03-15,Expenses,Gift,,-15.0
2019-03-14,Expenses,Fruits,"Juice @Boost Juice Bars, Plaza Singapura, Dhoby Ghaut",-3.0
2019-03-14,Expenses,Gift,,-6.0
2019-03-14,Expenses,Transportation,Top Up Ezlink Card,-50.0
2019-03-14,Expenses,Food,"Noodle @Kopitiam, Plaza Singapura, Dhoby Ghaut",-4.8
2019-03-14,Expenses,Home,"Laundry Net @Daiso, Plaza Sjngapura, Dhoby Ghaut",-2.0
2019-03-14,Income,Cash Withdrawal,,200.0
2019-03-14,Expenses,Snacks,"Popcorn @Shaw Theatre, Shaw Plaza Balestier, Novena",-2.4
2019-03-14,Expenses,Movies,"Captain Marvel @Shaw Theatre, Shaw Plaza Balestier, Novena",-6.5
2019-03-14,Expenses,Snacks,"Snacks @Tori-Q & Old Chang Kee, ION Orchard, Orchard",-7.0
2019-03-14,Expenses,Gift,,-15.0
2019-03-13,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.7
2019-03-13,Expenses,Food,"Dinner @IKEA, Alexandra, Queenstown",-10.0
2019-03-12,Expenses,Food,"Mala Hot Soup @Kampoeng, SIM, Clementi",-6.0
2019-03-12,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.2
2019-03-12,Expenses,Gift,,-5.5
2019-03-11,Expenses,Groceries,"Groceries @Fairprice Finest, Clementi Mall, Clementi",-7.1
2019-03-11,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.0
2019-03-11,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.7
2019-03-10,Expenses,Others,,-30.0
2019-03-10,Expenses,Fruits,"Tomato @Cold Storage, Holland Village",-4.0
2019-03-10,Expenses,Snacks,"Brownies and Cookies @Cold Storage, Holland Village",-1.5
