Date,Year,ISO Year,Month,Month Label,Week,Week Label,Day,Category,Item,Vendor,Vendor Location,District,Income/Expenses,Amount,Formatted Date,Outlier
2021-12-01,2021,2021,12,December,48,W48,Wednesday,Balance from Previous Month,November's Balance,Blank,Blank,Blank,Income,411.9,01/12/2021,False
2021-11-28,2021,2021,11,November,47,W47,Sunday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,28/11/2021,False
2021-11-11,2021,2021,11,November,45,W45,Thursday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,11/11/2021,False
2021-11-01,2021,2021,11,November,44,W44,Monday,Balance from Previous Month,October's Balance,Blank,Blank,Blank,Income,307.6,01/11/2021,False
2021-10-19,2021,2021,10,October,42,W42,Tuesday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,19/10/2021,False
2021-10-08,2021,2021,10,October,40,W40,Friday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,08/10/2021,False
2021-10-01,2021,2021,10,October,39,W39,Friday,Balance from Previous Month,September's Balance,Blank,Blank,Blank,Income,130.4,01/10/2021,False
2021-09-20,2021,2021,9,September,38,W38,Monday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,20/09/2021,False
2021-09-05,2021,2021,9,September,35,W35,Sunday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,05/09/2021,False
2021-09-01,2021,2021,9,September,35,W35,Wednesday,Balance from Previous Month,August's Balance,Blank,Blank,Blank,Income,20.7,01/09/2021,False
2021-08-16,2021,2021,8,August,33,W33,Monday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,16/08/2021,False
2021-08-07,2021,2021,8,August,31,W31,Saturday,Cash Withdrawal,Cash Withdrawal,Blank,Blank,Blank,Income,300.0,07/08/2021,False
